Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  Ensuring the safety of the Youth Centre in Skenderaj,Skenderaj,Finland,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Skenderajlive,Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  IPA 2010 - Support to Kosovo Assembly, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Hungarian National Assembly,Kosovo Parliament,0,0,0,0,0,0,0,0
"  IPA 2008 & IPA 2010 - Supervision of Construction of Extension of Water Treatment Plant at Shipol, Municipality of Mitrovice/a.",Mitrovica,European Union Office,140 - WATER AND SANITATION,"LOUIS BERGER Group, Inc",N/A Beneficiary Organization,0,0,0,0,1074513.44,0,1074513.44,0
  IPA 2011 - Graçanica Farmers’ Cooperative Development and Regional Revitalization, ,European Union Office,311 - AGRICULTURE,Municipality of Gracanica,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - KS 10 IB AG 02 - Further assistance to the Kosovo Food and Veterinary Agency, ,European Union Office,311 - AGRICULTURE,AgrarMarkt Austria,Kosovo Veterinary and Food Agency,0,0,0,0,0,0,0,0
  Support to KPC stand-down and KSF set-up, ,Luxembourg,150 - GOVERNMENT AND CIVIL SOCIETY,North Atlantic Treaty Organization,N/A Beneficiary Organization,0,1592400,0,0,0,0,0,1592400
  Support to the Security Sector (3SD), ,Luxembourg,150 - GOVERNMENT AND CIVIL SOCIETY, ," - Office of the Prime Minister
 - Parliamentary Committee on Security
 - Security Council",0,1442400,0,0,0,0,0,1442400
  Pre-Hospital Care and Emergency Services, ,Luxembourg,120 - HEALTH,World Health Organization,University Clinical Center,0,771599.47,0,682850,0,716300,0,2170749.469
  Young People in Double Transition, ,Luxembourg,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,United Nations Children's Fund,Ministry of Culture Youth and Sports,0,0,0,371320.172,0,476067.306,0,847387.479
  Strengthening Vocational Training in Kosovo, ,Luxembourg,110 - EDUCATION,Lux-Development,Ministry of Labor and Social Walfare,0,0,0,0,0,1736581.961,0,1736581.961
"  IPA 2010 - Security guarding for 5 sites under Municipal Social Economic Infrastructure, Phase V"," - Fushe Kosova
 - Gjilan
 - Obiliq
 - Podujeva
 - Vushtrria",European Union Office,400 - MULTISECTOR/CROSS-CUTTING,DELTA SECURITY SHPK,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Support for the Ministry of Environment and Spatial Planning (MESP), ,European Union Office,140 - WATER AND SANITATION,Eptisa,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  IPA 2011 - Assesment of Serb majority municipalities in Kosovo, with focus on the municipalities of Northen Mitrovica, Zvecan, Zubin Potok and Leposavic"," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,IBF International Consulting SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - ''Play for All'' Kids Festival - Phase II, ,European Union Office,110 - EDUCATION,SOS- KInderdorf International,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Rural Water and Sanitation Support Program Phase IV, ,Swiss Agency for Development and Cooperation,140 - WATER AND SANITATION,Community Development Initiative,N/A Beneficiary Organization,0,0,0,0,816660,545752.906,816660,545752.906
  Contribution to the Public Information Campaign on Irregular Migration in Kosovo (PICIM), ,Swiss Agency for Development and Cooperation,400 - MULTISECTOR/CROSS-CUTTING,Swiss Agency for Development and Cooperation,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Access to territorial protection and asylum procedures for asylum seekers, refugees' naturalisation and provision of direct assistance in meeting basic needs for minority returnees and displaced communities", ,German Government," - 120 - HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY"," - Civil Rights Program Kosovo
 - Office of the United Nations High Commissioner for Refugees",Ministry of Internal Affairs,0,0,0,0,0,0,0,0
  Justice and Security, ,United Nations Development Programme,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme," - Kosovo Judicial Institute
 - Ministry of Justice",0,0,0,0,234000,234000,234000,234000
  Access to Justice, ,United Nations Development Programme,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme," - Kosovo Judicial Institute
 - Ministry of Justice",0,0,0,0,375000,375000,375000,375000
  Appointment of Judges and Prosecutors in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Office for Project Services,Ministry of Justice,0,0,0,0,2294208,2294208,2294208,2294208
  System analyses for Child Protection system in Kosovo, ," - Embassy of Netherlands
 - European Union Office
 - United Nations Children's Fund"," - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY"," - CACTTUS sh.a
 - Kosovo Centre for Public Security, Education and Development
 - Ministry of Justice
 - Ministry of Labor and Social Walfare
 - Statistical Office of Kosovo
 - Terre des Hommes
 - United Nations Children's Fund"," - Government of Kosovo
 - Kosovo Centre for Public Security, Education and Development
 - Kosovo Chamber of Commerce
 - Kosovo Judicial Institute
 - Kosovo Police
 - Kosovo Probation Services
 - Lipjan Correctional Center for Females and Juveniles
 - Ministry of Justice
 - Ministry of Labor and Social Walfare
 - Statistical Office of Kosovo",0,0,0,0,553771,553771,553771,553771
"  Evaluation of Mitrovica North Administration Office (MNAO) work within first six months, June – December 2012.",North Mitrovica,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Knowledge Increase of the Socioeconomic Situation in northern Kosovo,North Mitrovica,United Kingdom of Great Britain and Northern Ireland,400 - MULTISECTOR/CROSS-CUTTING,The European Centre for Minority Issues in Kosovo,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Single Market Kosovo," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Aktiv,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Fostering youth innovation in Kosovo, ,European Union Office,110 - EDUCATION,United Nations Children's Fund,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Return and Reintegration in Kosovo phase III (EU-RRK III), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Organization for Migration,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Improving the quality and standards of traditional local dough/pastries and sweets products, ,European Union Office,311 - AGRICULTURE,FBM Kualiteti SH.P.K,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Information and Motivation Campaign for the Serbian community regarding local elections in Kosovo, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Establishment of Agro-Business Centre in Shtime, ,European Union Office,321 - INDUSTRY,Municipality of Shtime,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 & IPA 2013 - Multi-Donor Trust Fund for the 2011 Population and Housing Census, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,United Nations Office for Project Services,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Working Together. Towards a productive working relation between Civil Society and the authorities in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Mammogram, ,United Kingdom of Great Britain and Northern Ireland,120 - HEALTH, ,Ministry of Health,0,0,0,0,0,0,0,0
  Thought basketball to better tomorrow for all," - Gracanica
 - North Mitrovica
 - Shterpce",United Kingdom of Great Britain and Northern Ireland,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Community Capacity and Rural Development Focusing on One Village One Product Movement (FY2014), ,Government of Japan,400 - MULTISECTOR/CROSS-CUTTING,Japan International Cooperation Agency,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  Soil Diagnosis Technology for Sustainable Agricultural Production and Environmental Conservation (FY2014), ,Government of Japan,311 - AGRICULTURE,Japan International Cooperation Agency,Kosovo Environment Protection Agency,0,0,0,0,0,0,0,0
  IPA 2010 - Operational support to the Regional Development Agency - West, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  EIDHR 2013 AAP - CBSS (Country Based Support Schemes) - Assessment of project proposals under the European Instrument for Democracy and Human Rights Call for Proposals, CBSS 2012 for Kosovo", ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Application Europeenne de Technologies et de Services Sarl,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  IPA 2010 - Regional Economic Development - Developing, Improving and Promoting Tourism in the Batllava Lake", ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Municipality of Podujeva,Municipality of Podujeva,0,0,0,0,0,0,0,0
  IPA 2009 - Training of trainers programme for sports and physical education teacher in Kosovo, ,European Union Office,110 - EDUCATION,Hulla & Co Human Dynamics KG,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  IPA 2009 - Support to Civil Registration Agency and Unified Address System, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Business and Strategies in Europe,Ministry of Internal Affairs,0,0,0,0,3713850.875,763147.315,3713850.875,763147.315
  IPA 2010 - Supervision of IT Supply Contract - Kosovo Police Information System, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosovo Police,0,0,0,0,0,0,0,0
  IPA 2010 -Support to the Implementation of Intelligence Led Policing - EuropeAid/130895/SUP/XK (2nd Re-launch), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Teched Consulting Servises Ltd.,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - Municipal Social and Economic Infrastructure," - Decan
 - Dragash
 - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Gjilan
 - Gllogovc
 - Gracanica
 - Hani i Elezit
 - Istog
 - Junik
 - Kacanik
 - Kamenica
 - Klina
 - Leposaviq
 - Lipjan
 - Malisheva
 - Mamusha
 - Mitrovica
 - Novoberda
 - Obiliq
 - Partesh
 - Peja
 - Podujeva
 - Pristina
 - Prizren
 - Rahovec
 - Shterpce
 - Shtime
 - Skenderaj
 - Suhareka
 - Vitia
 - Vushtrria
 - Zubin Potok
 - Zvecan",European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Eptisa,Ministry of Local Government and Administration,0,0,3560635.4,356063.54,0,782112.28,3560635.4,1138175.82
  IPA 2011 - Meat processing in Novo Brdo, ,European Union Office,321 - INDUSTRY,Luli Company Sh.p.k,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 & IPA 2012 - EU Information and Cultural Centre in Kosovo," - North Mitrovica
 - Pristina",European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Management & Development Associate SLLC,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Farmer-led Extension Method (FY2014), ,Government of Japan,311 - AGRICULTURE,Japan International Cooperation Agency,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  Country Focused Training - the Project for Enhancement of the capacity for Waste Management toward Sound Material-Cycle Society (FY2014), ,Government of Japan,140 - WATER AND SANITATION,Japan International Cooperation Agency,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  JICA Alumni Association of Kosovo (JAAK) financial support (FY2013), ,Government of Japan,400 - MULTISECTOR/CROSS-CUTTING,Japan International Cooperation Agency,Japan Alumni Association in Kosovo,0,0,0,0,0,0,0,0
  JICA Alumni Association in Kosovo (JAAK) financial support (FY2012), ,Government of Japan,400 - MULTISECTOR/CROSS-CUTTING,Japan International Cooperation Agency,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  JICA Alumni Association in Kosovo (JAAK) financial support, ,Government of Japan,400 - MULTISECTOR/CROSS-CUTTING,Japan International Cooperation Agency,N/A Beneficiary Organization,0,0,0,0,5664.111,0,5664.111,0
  JICA Alumni Association in Kosovo (JAAK) financial support, ,Government of Japan,400 - MULTISECTOR/CROSS-CUTTING,Japan International Cooperation Agency,Japan Alumni Association in Kosovo,0,0,4300,0,6479.091,4300,10779.091,4300
  Sport sans frontières in Kosovo, ,France," - 110 - EDUCATION
 - 400 - MULTISECTOR/CROSS-CUTTING",Sport Sans Frontieres,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Reform of Vocational Education in Kosovo, ,German Government,110 - EDUCATION,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,0,587510,0,553290,0,0,0,1140800
"  Empowerment and Development of Youth in Kosovo, II", ,German Government,110 - EDUCATION,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,0,658002,0,514105,0,0,0,1172107
  Economic and Employment Promotion, ,German Government,250 - BUSINESS AND OTHER SERVICES,Deutsche Gesellschaft für Internationale Zusammenarbeit,Ministry of Trade and Industry,3605999.999,1223811.099,0,1149132.3,0,1085807.9,3605999.999,3458751.3
  Consolidation of Basic Education  beside and after formal school education, ,German Government,110 - EDUCATION,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,0,170965.409,0,119483.48,0,151781.135,0,442230.024
  Support for the development and enforcement of constitutional and EU-compliant law in Kosovo – Phase I, ,German Government,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Gesellschaft für Internationale Zusammenarbeit," - Constitutional Court of Kosovo
 - Kosovo Judicial Council
 - Kosovo Judicial Institute
 - Ministry of Justice
 - Ministry of Public Administration",0,0,3722399.999,787098,0,1424168,3722399.999,2211266
"  Land Management and Cadastre, phase II"," - Hani i Elezit
 - Mitrovica
 - Pristina",German Government,400 - MULTISECTOR/CROSS-CUTTING,Deutsche Gesellschaft für Internationale Zusammenarbeit,Kosovo Cadastre Agency,0,0,0,0,0,0,0,0
"  Modernization of Municipal Services in Kosovo, phase II", ,German Government,400 - MULTISECTOR/CROSS-CUTTING,Deutsche Gesellschaft für Internationale Zusammenarbeit," - Association of Municipalities in Kosovo
 - Ministry of Local Government and Administration",3461760,1152097.5,0,1114474,0,1047778.5,3461760,3314350
"  Capacity Development in the Basic Education Sector (CBDE), phase I"," - Fushe Kosova
 - Gjilan
 - Kacanik
 - Klina
 - Pristina
 - Prizren",German Government,110 - EDUCATION,Deutsche Gesellschaft für Internationale Zusammenarbeit," - Association of Municipalities in Kosovo
 - Ministry of Education, Science and Technology",0,0,0,0,5443880,1619743.5,5443880,1619743.5
  Infrastructure water / wastewater,Peja,German Government,140 - WATER AND SANITATION,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,367300,171516.81,0,169067.97,0,0,367300,340584.78
"  Youth Center Mitrovica (situated in Southern Mitrovica, next to the Ibar Bridge)",Mitrovica,German Government,150 - GOVERNMENT AND CIVIL SOCIETY,NGO Diakonie," - Ministry of Education, Science and Technology
 - Municipality of Mitrovica",0,0,0,0,0,0,0,0
  Inquiry into the economic situation of north Kosovo businesses - Survey North Kosovo,North Mitrovica,German Government,250 - BUSINESS AND OTHER SERVICES,Deutsche Gesellschaft für Internationale Zusammenarbeit,Aktiv,0,0,0,0,0,0,0,0
  The Open Regional Fund for South East Europe – Legal Reform, ,German Government,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Gesellschaft für Internationale Zusammenarbeit," - Kosovo Chamber of Commerce
 - Ministry of Justice
 - University of Pristina ""Hasan Pristina""",0,0,0,0,0,0,0,0
  Small projects' funds, ,German Government,998 - UNALLOCATED/ UNSPECIFIED,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,0,478233.139,0,450378.06,0,423841.66,0,1352452.859
"  Promotion of Vocational Education Centres in the Context of Vocational Education Reform, phase I"," - Ferizaj
 - Malisheva
 - Mitrovica
 - Pristina
 - Prizren
 - Skenderaj",German Government,110 - EDUCATION,Deutsche Gesellschaft für Internationale Zusammenarbeit,"Ministry of Education, Science and Technology",0,0,4060799.999,615522,0,1114822,4060799.999,1730344
"  Establishment and consolidation of youth work structures, phase III", ,German Government,400 - MULTISECTOR/CROSS-CUTTING,Deutsche Gesellschaft für Internationale Zusammenarbeit,Ministry of Culture Youth and Sports,0,0,3573500,214890,0,872221,3573500,1087111
"  Rural Economic Development in Kosovo, Phase I"," - Dragash
 - Gjilan
 - Kamenica
 - Prizren
 - Shterpce
 - Suhareka
 - Vitia",German Government,400 - MULTISECTOR/CROSS-CUTTING,Deutsche Gesellschaft für Internationale Zusammenarbeit," - Kosovo Chamber of Commerce
 - Ministry for Agriculture, Forestry and Rural Development
 - Ministry of Trade and Industry",0,0,0,0,4754050,976138,4754050,976138
"  Reform of Public Finance System in Kosovo, phase I", ,German Government,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Gesellschaft für Internationale Zusammenarbeit,Budget and Finance Committee,0,0,3384000,558106,0,1107073,3384000,1665179
